longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-6.000000,-6.000000,1737400.000,2.349981600e-03,2.623700500e-02,8.900179500e-03,2.780496431e-02
-6.000000,-5.850000,1737400.000,2.368681600e-03,2.724296200e-02,8.552226200e-03,2.865187959e-02
-6.000000,-5.700000,1737400.000,2.385610500e-03,2.826759000e-02,8.146261800e-03,2.951456188e-02
-6.000000,-5.550000,1737400.000,2.400495600e-03,2.930784800e-02,7.677616600e-03,3.039174444e-02
-6.000000,-5.400000,1737400.000,2.413192800e-03,3.036005800e-02,7.141469500e-03,3.128189905e-02
-6.000000,-5.250000,1737400.000,2.423489900e-03,3.141992900e-02,6.532954500e-03,3.218329903e-02
-6.000000,-5.100000,1737400.000,2.431144900e-03,3.248236000e-02,5.847028900e-03,3.309383513e-02
-6.000000,-4.950000,1737400.000,2.435925600e-03,3.354160500e-02,5.078756300e-03,3.401127409e-02
-6.000000,-4.800000,1737400.000,2.437593400e-03,3.459101900e-02,4.223338300e-03,3.493303656e-02
-6.000000,-4.650000,1737400.000,2.435935000e-03,3.562317400e-02,3.276066400e-03,3.585633718e-02
-6.000000,-4.500000,1737400.000,2.430700900e-03,3.662964000e-02,2.232481300e-03,3.677802069e-02
-6.000000,-4.350000,1737400.000,2.421617500e-03,3.760110600e-02,1.088587600e-03,3.769472678e-02
-6.000000,-4.200000,1737400.000,2.408474200e-03,3.852726900e-02,-1.591477000e-04,3.860280472e-02
-6.000000,-4.050000,1737400.000,2.390957700e-03,3.939691600e-02,-1.513550800e-03,3.949841142e-02
-6.000000,-3.900000,1737400.000,2.368895100e-03,4.019788300e-02,-2.976667100e-03,4.037749384e-02
-6.000000,-3.750000,1737400.000,2.342054200e-03,4.091700900e-02,-4.549566700e-03,4.123572966e-02
-6.000000,-3.600000,1737400.000,2.310215700e-03,4.154055900e-02,-6.232130300e-03,4.206892662e-02
-6.000000,-3.450000,1737400.000,2.273120700e-03,4.205377000e-02,-8.022974200e-03,4.287254091e-02
-6.000000,-3.300000,1737400.000,2.230709900e-03,4.244150200e-02,-9.919030600e-03,4.364223100e-02
-6.000000,-3.150000,1737400.000,2.182701800e-03,4.268828000e-02,-1.191572800e-02,4.437384376e-02
-6.000000,-3.000000,1737400.000,2.129025800e-03,4.277819800e-02,-1.400648700e-02,4.506316293e-02
-6.000000,-2.850000,1737400.000,2.069517700e-03,4.269568200e-02,-1.618275200e-02,4.570651624e-02
-6.000000,-2.700000,1737400.000,2.004213900e-03,4.242562100e-02,-1.843390600e-02,4.630074601e-02
-6.000000,-2.550000,1737400.000,1.933040800e-03,4.195339200e-02,-2.074709500e-02,4.684298985e-02
-6.000000,-2.400000,1737400.000,1.855987800e-03,4.126572600e-02,-2.310722900e-02,4.733126731e-02
-6.000000,-2.250000,1737400.000,1.773136200e-03,4.035071300e-02,-2.549703400e-02,4.776424180e-02
-6.000000,-2.100000,1737400.000,1.684582600e-03,3.919847700e-02,-2.789717200e-02,4.814156856e-02
-6.000000,-1.950000,1737400.000,1.590442000e-03,3.780152600e-02,-3.028629200e-02,4.846384587e-02
-6.000000,-1.800000,1737400.000,1.490927800e-03,3.615498500e-02,-3.264142600e-02,4.873262252e-02
-6.000000,-1.650000,1737400.000,1.386240200e-03,3.425722600e-02,-3.493824200e-02,4.895058681e-02
-6.000000,-1.500000,1737400.000,1.276707600e-03,3.211004700e-02,-3.715128500e-02,4.912130981e-02
-6.000000,-1.350000,1737400.000,1.162586000e-03,2.971897100e-02,-3.925479900e-02,4.924944759e-02
-6.000000,-1.200000,1737400.000,1.044250800e-03,2.709333400e-02,-4.122288200e-02,4.934030003e-02
-6.000000,-1.050000,1737400.000,9.220712200e-04,2.424627700e-02,-4.303015800e-02,4.939966256e-02
-6.000000,-0.900000,1737400.000,7.964927400e-04,2.119512700e-02,-4.465245100e-02,4.943388706e-02
-6.000000,-0.750000,1737400.000,6.678933900e-04,1.796107000e-02,-4.606729700e-02,4.944938796e-02
-6.000000,-0.600000,1737400.000,5.368240500e-04,1.456826400e-02,-4.725461800e-02,4.945221348e-02
-6.000000,-0.450000,1737400.000,4.037053400e-04,1.104465500e-02,-4.819704200e-02,4.944797508e-02
-6.000000,-0.300000,1737400.000,2.690528600e-04,7.420305600e-03,-4.888055800e-02,4.944130131e-02
-6.000000,-0.150000,1737400.000,1.333660300e-04,3.727585100e-03,-4.929486700e-02,4.943578248e-02
-6.000000,0.000000,1737400.000,-2.824177300e-06,3.619066700e-07,-4.943369300e-02,4.943369308e-02
-6.000000,0.150000,1737400.000,-1.390104400e-04,-3.726782300e-03,-4.929490400e-02,4.943577440e-02
-6.000000,0.300000,1737400.000,-2.746743300e-04,-7.419413000e-03,-4.888062600e-02,4.944126549e-02
-6.000000,0.450000,1737400.000,-4.092854800e-04,-1.104379500e-02,-4.819712800e-02,4.944791270e-02
-6.000000,0.600000,1737400.000,-5.423587300e-04,-1.456752800e-02,-4.725472300e-02,4.945215739e-02
-6.000000,0.750000,1737400.000,-6.733636300e-04,-1.796032700e-02,-4.606745000e-02,4.944933482e-02
-6.000000,0.900000,1737400.000,-8.018830600e-04,-2.119452300e-02,-4.465257000e-02,4.943382273e-02
-6.000000,1.050000,1737400.000,-9.273698100e-04,-2.424556200e-02,-4.303028100e-02,4.939951796e-02
-6.000000,1.200000,1737400.000,-1.049449900e-03,-2.709263000e-02,-4.122302700e-02,4.934014492e-02
-6.000000,1.350000,1737400.000,-1.167669200e-03,-2.971832500e-02,-3.925499700e-02,4.924933585e-02
-6.000000,1.500000,1737400.000,-1.281663900e-03,-3.210950600e-02,-3.715150400e-02,4.912125087e-02
-6.000000,1.650000,1737400.000,-1.391068200e-03,-3.425659200e-02,-3.493843200e-02,4.895041570e-02
-6.000000,1.800000,1737400.000,-1.495610900e-03,-3.615439300e-02,-3.264167500e-02,4.873249359e-02
-6.000000,1.950000,1737400.000,-1.594982000e-03,-3.780088600e-02,-3.028654500e-02,4.846365399e-02
-6.000000,2.100000,1737400.000,-1.688970100e-03,-3.919791100e-02,-2.789742300e-02,4.814140688e-02
-6.000000,2.250000,1737400.000,-1.777364300e-03,-4.035009400e-02,-2.549730600e-02,4.776402122e-02
-6.000000,2.400000,1737400.000,-1.860054700e-03,-4.126519700e-02,-2.310751800e-02,4.733110684e-02
-6.000000,2.550000,1737400.000,-1.936945800e-03,-4.195288900e-02,-2.074738000e-02,4.684282689e-02
-6.000000,2.700000,1737400.000,-2.007955000e-03,-4.242507000e-02,-1.843419100e-02,4.630051669e-02
-6.000000,2.850000,1737400.000,-2.073096300e-03,-4.269520600e-02,-1.618304700e-02,4.570633822e-02
-6.000000,3.000000,1737400.000,-2.132443200e-03,-4.277775400e-02,-1.400678200e-02,4.506299472e-02
-6.000000,3.150000,1737400.000,-2.185956800e-03,-4.268777700e-02,-1.191601700e-02,4.437359771e-02
-6.000000,3.300000,1737400.000,-2.233810500e-03,-4.244105500e-02,-9.919354700e-03,4.364202856e-02
-6.000000,3.450000,1737400.000,-2.276063200e-03,-4.205329000e-02,-8.023269500e-03,4.287228145e-02
-6.000000,3.600000,1737400.000,-2.313005500e-03,-4.154012000e-02,-6.232466100e-03,4.206869617e-02
-6.000000,3.750000,1737400.000,-2.344698900e-03,-4.091663300e-02,-4.549875900e-03,4.123554098e-02
-6.000000,3.900000,1737400.000,-2.371396400e-03,-4.019750300e-02,-2.976975900e-03,4.037728512e-02
-6.000000,4.050000,1737400.000,-2.393325600e-03,-3.939657300e-02,-1.513851700e-03,3.949822425e-02
-6.000000,4.200000,1737400.000,-2.410703800e-03,-3.852691900e-02,-1.594418400e-04,3.860259580e-02
