longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-6.000000,-6.000000,1737400.000,-1.333506900e-03,-8.809047000e-03,2.633891600e-02,2.780496441e-02
-6.000000,-5.850000,1737400.000,-1.361078200e-03,-8.457544700e-03,2.734131700e-02,2.865187972e-02
-6.000000,-5.700000,1737400.000,-1.388431800e-03,-8.048156700e-03,2.836210100e-02,2.951456153e-02
-6.000000,-5.550000,1737400.000,-1.415525000e-03,-7.576231000e-03,2.939821700e-02,3.039174477e-02
-6.000000,-5.400000,1737400.000,-1.442155900e-03,-7.036981000e-03,3.044599000e-02,3.128189928e-02
-6.000000,-5.250000,1737400.000,-1.468172300e-03,-6.425570100e-03,3.150113100e-02,3.218329901e-02
-6.000000,-5.100000,1737400.000,-1.493402000e-03,-5.736986300e-03,3.255854200e-02,3.309383505e-02
-6.000000,-4.950000,1737400.000,-1.517657600e-03,-4.966325700e-03,3.361248400e-02,3.401127396e-02
-6.000000,-4.800000,1737400.000,-1.540727100e-03,-4.108823800e-03,3.465632400e-02,3.493303689e-02
-6.000000,-4.650000,1737400.000,-1.562349200e-03,-3.159809200e-03,3.568265100e-02,3.585633712e-02
-6.000000,-4.500000,1737400.000,-1.582262100e-03,-2.114857800e-03,3.668305600e-02,3.677802026e-02
-6.000000,-4.350000,1737400.000,-1.600217900e-03,-9.700071000e-04,3.764825100e-02,3.769472661e-02
-6.000000,-4.200000,1737400.000,-1.615877700e-03,2.782388800e-04,3.856796700e-02,3.860280503e-02
-6.000000,-4.050000,1737400.000,-1.628996000e-03,1.632679000e-03,3.943101900e-02,3.949841172e-02
-6.000000,-3.900000,1737400.000,-1.639171400e-03,3.095323700e-03,4.022529200e-02,4.037749408e-02
-6.000000,-3.750000,1737400.000,-1.646041700e-03,4.667215800e-03,4.093767300e-02,4.123572998e-02
-6.000000,-3.600000,1737400.000,-1.649257400e-03,6.348214800e-03,4.155447900e-02,4.206892685e-02
-6.000000,-3.450000,1737400.000,-1.648475700e-03,8.136921900e-03,4.206100100e-02,4.287254104e-02
-6.000000,-3.300000,1737400.000,-1.643198200e-03,1.003025200e-02,4.244217600e-02,4.364223137e-02
-6.000000,-3.150000,1737400.000,-1.633162100e-03,1.202363700e-02,4.268258400e-02,4.437384412e-02
-6.000000,-3.000000,1737400.000,-1.617907300e-03,1.411050000e-02,4.276639800e-02,4.506316270e-02
-6.000000,-2.850000,1737400.000,-1.597130400e-03,1.628230300e-02,4.267811400e-02,4.570651629e-02
