case,solver,setting,unit,relative_l2,vector_rmse,max_vector_difference,elapsed_s
magnetic_block_surface,gauss_legendre,order_4,nt,1.5435017976894962,806.0400233056656,2175.5056159535475,0.017203833034727722
magnetic_block_surface,gauss_legendre,order_8,nt,2.4257734240756195,1266.775633305427,4713.753637511195,0.016738042002543807
magnetic_block_surface,gauss_legendre,order_16,nt,0.4106262486322839,214.43524815645665,516.5295150894224,0.0181923329946585
magnetic_block_surface,gauss_legendre,order_32,nt,0.04995779498756198,26.0887174192814,82.15539546832649,0.021888915973249823
magnetic_block_surface,gauss_legendre,order_64,nt,0.0006499356560148548,0.33940624630667476,1.397403749166697,0.04978437500540167
magnetic_block_surface,gauss_legendre,order_8_panels_4,nt,0.001406088301506287,0.7342806137398151,1.4468825543973303,0.021954875031951815
magnetic_block_surface,direct,refine_1,nt,0.17418489995164313,90.96199371240479,174.4154196677527,0.01786787499440834
magnetic_block_surface,direct,refine_2,nt,0.023883496648268533,12.472323792436462,24.774961837585778,0.016822041012346745
magnetic_block_surface,direct,refine_4,nt,0.0074894569095753484,3.911107865878433,8.806973789660551,0.017138958966825157
magnetic_block_surface,spectral,degree_4,nt,1.0000678324332417,522.2505734482451,1109.6936695684833,0.127553166996222
magnetic_block_surface,spectral,degree_8,nt,1.0002220922272829,522.3311302497791,1109.9584628429332,0.12746912497095764
magnetic_block_surface,spectral,degree_12,nt,1.0002071776376573,522.323341625116,1110.1001019701791,0.1587784580187872
magnetic_block_surface,spectral,degree_24,nt,0.9939844761420821,519.0737526281832,1037.249909657407,1.3888848749920726
magnetic_block_orbital,gauss_legendre,order_4,nt,0.004923504129782206,0.3429294820274831,1.1812270259453181,0.014900041045621037
magnetic_block_orbital,gauss_legendre,order_8,nt,4.464613056767102e-06,0.00031096702727413113,0.0010482812207934318,0.014416041027288884
magnetic_block_orbital,gauss_legendre,order_16,nt,1.76285285120796e-12,1.2278535758680461e-10,5.060280013864468e-10,0.015155041008256376
magnetic_block_orbital,gauss_legendre,order_32,nt,1.4454774878628453e-15,1.0067968526658278e-13,2.455010144498838e-13,0.017513833998236805
magnetic_block_orbital,gauss_legendre,order_64,nt,8.2357374714311e-16,5.736315255852408e-14,1.3101760682293512e-13,0.04471170803299174
magnetic_block_orbital,gauss_legendre,order_8_panels_4,nt,8.595397790583498e-15,5.98682408798012e-13,1.1338445492196283e-12,0.019612832984421402
